dataset,n,data_bytes,data_kb,data_mb,reference_sum,inner_loop,naive_result,naive_abs_error,naive_rel_error,naive_avg_ms,naive_min_ms,naive_time_per_elem_ns,way2_result,way2_abs_error,way2_rel_error,way2_avg_ms,way2_min_ms,way2_time_per_elem_ns,way2_speedup_vs_naive,way4_result,way4_abs_error,way4_rel_error,way4_avg_ms,way4_min_ms,way4_time_per_elem_ns,way4_speedup_vs_naive,way8_result,way8_abs_error,way8_rel_error,way8_avg_ms,way8_min_ms,way8_time_per_elem_ns,way8_speedup_vs_naive,way16_result,way16_abs_error,way16_rel_error,way16_avg_ms,way16_min_ms,way16_time_per_elem_ns,way16_speedup_vs_naive,recursive_result,recursive_abs_error,recursive_rel_error,recursive_avg_ms,recursive_min_ms,recursive_time_per_elem_ns,recursive_speedup_vs_naive,iterative_result,iterative_abs_error,iterative_rel_error,iterative_avg_ms,iterative_min_ms,iterative_time_per_elem_ns,iterative_speedup_vs_naive,divide_result,divide_abs_error,divide_rel_error,divide_avg_ms,divide_min_ms,divide_time_per_elem_ns,divide_speedup_vs_naive,stdacc_result,stdacc_abs_error,stdacc_rel_error,stdacc_avg_ms,stdacc_min_ms,stdacc_time_per_elem_ns,stdacc_speedup_vs_naive,kahan_result,kahan_abs_error,kahan_rel_error,kahan_avg_ms,kahan_min_ms,kahan_time_per_elem_ns,kahan_speedup_vs_naive
ones,3500,14000,13.6719,0.013351,3500.0000000000,30000,3500.0000000000,0.0000000000,0.0000000000,62.1709058750,56.1681760000,0.5921038655,3500.0000000000,0.0000000000,0.0000000000,31.9016811250,28.6711930000,0.3038255345,1.9488285157,3500.0000000000,0.0000000000,0.0000000000,20.8359498750,18.4932460000,0.1984376179,2.9838287310,3500.0000000000,0.0000000000,0.0000000000,17.8073501250,14.2993560000,0.1695938107,3.4913058618,3500.0000000000,0.0000000000,0.0000000000,18.0798853750,15.3268600000,0.1721893845,3.4386780992,3500.0000000000,0.0000000000,0.0000000000,279.6469276250,245.4373520000,2.6633040726,0.2223192881,3500.0000000000,0.0000000000,0.0000000000,40.1428747500,34.2007160000,0.3823130929,1.5487407482,3500.0000000000,0.0000000000,0.0000000000,62.4337381250,54.2975370000,0.5946070298,0.9957902208,3500.0000000000,0.0000000000,0.0000000000,66.0845610000,57.9606220000,0.6293767714,0.9407780718,3500.0000000000,0.0000000000,0.0000000000,257.3773307500,225.8809320000,2.4512126738,0.2415554847
ones,3584,14336,14.0000,0.013672,3584.0000000000,30000,3584.0000000000,0.0000000000,0.0000000000,65.6556465000,62.6330790000,0.6106365932,3584.0000000000,0.0000000000,0.0000000000,32.2990595000,31.6152080000,0.3004004790,2.0327417428,3584.0000000000,0.0000000000,0.0000000000,21.5688898750,20.4425160000,0.2006035145,3.0439974834,3584.0000000000,0.0000000000,0.0000000000,20.2614133750,15.7673980000,0.1884432048,3.2404277670,3584.0000000000,0.0000000000,0.0000000000,17.4792453750,17.1330560000,0.1625673863,3.7562060084,3584.0000000000,0.0000000000,0.0000000000,302.0262402500,283.2564120000,2.8090238118,0.2173839149,3584.0000000000,0.0000000000,0.0000000000,38.0785482500,35.6620310000,0.3541531645,1.7242161143,3584.0000000000,0.0000000000,0.0000000000,69.0793711250,64.0795450000,0.6424792701,0.9504378142,3584.0000000000,0.0000000000,0.0000000000,70.9329581250,61.4524620000,0.6597187326,0.9256014163,3584.0000000000,0.0000000000,0.0000000000,243.6678623750,225.5855670000,2.2662561605,0.2694472954
ones,4000,16000,15.6250,0.015259,4000.0000000000,30000,4000.0000000000,0.0000000000,0.0000000000,70.7628385000,61.0251030000,0.5896903208,4000.0000000000,0.0000000000,0.0000000000,36.2539630000,32.6865400000,0.3021163583,1.9518649175,4000.0000000000,0.0000000000,0.0000000000,21.9958887500,20.2043560000,0.1832990729,3.2170938535,4000.0000000000,0.0000000000,0.0000000000,17.4335770000,16.9909840000,0.1452798083,4.0589971008,4000.0000000000,0.0000000000,0.0000000000,18.5906682500,18.5029710000,0.1549222354,3.8063633619,4000.0000000000,0.0000000000,0.0000000000,307.6175722500,289.6490940000,2.5634797687,0.2300350984,4000.0000000000,0.0000000000,0.0000000000,39.7634457500,34.9374260000,0.3313620479,1.7795952329,4000.0000000000,0.0000000000,0.0000000000,67.7728768750,60.2239970000,0.5647739740,1.0441173780,4000.0000000000,0.0000000000,0.0000000000,70.4015990000,61.4636950000,0.5866799917,1.0051311264,4000.0000000000,0.0000000000,0.0000000000,275.2409093750,263.6833390000,2.2936742448,0.2570941895
ones,4096,16384,16.0000,0.015625,4096.0000000000,30000,4096.0000000000,0.0000000000,0.0000000000,75.3502238750,68.7973560000,0.6132016917,4096.0000000000,0.0000000000,0.0000000000,40.7972776250,35.0550770000,0.3320090953,1.8469424496,4096.0000000000,0.0000000000,0.0000000000,27.5883662500,22.9662410000,0.2245146993,2.7312318240,4096.0000000000,0.0000000000,0.0000000000,20.8425962500,17.4101020000,0.1696174825,3.6152033543,4096.0000000000,0.0000000000,0.0000000000,21.9543747500,18.9736010000,0.1786651591,3.4321279806,4096.0000000000,0.0000000000,0.0000000000,305.0915021250,262.3456080000,2.4828410004,0.2469758199,4096.0000000000,0.0000000000,0.0000000000,37.4273420000,34.3698600000,0.3045844889,2.0132400499,4096.0000000000,0.0000000000,0.0000000000,61.5045305000,59.4924430000,0.5005251506,1.2251166420,4096.0000000000,0.0000000000,0.0000000000,67.9894605000,64.0251250000,0.5532996460,1.1082633002,4096.0000000000,0.0000000000,0.0000000000,338.5579423750,308.5312300000,2.7551915883,0.2225622691
ones,4500,18000,17.5781,0.017166,4500.0000000000,10000,4500.0000000000,0.0000000000,0.0000000000,28.5887120000,24.9726720000,0.6353047111,4500.0000000000,0.0000000000,0.0000000000,16.2614363750,13.1106060000,0.3613652528,1.7580680661,4500.0000000000,0.0000000000,0.0000000000,8.4144180000,8.0946600000,0.1869870667,3.3975863809,4500.0000000000,0.0000000000,0.0000000000,6.6024806250,6.3568930000,0.1467217917,4.3299955916,4500.0000000000,0.0000000000,0.0000000000,7.2495807500,6.8765840000,0.1611017944,3.9434986637,4500.0000000000,0.0000000000,0.0000000000,134.4493598750,129.3202030000,2.9877635528,0.2126355382,4500.0000000000,0.0000000000,0.0000000000,14.4336750000,13.7819830000,0.3207483333,1.9806952838,4500.0000000000,0.0000000000,0.0000000000,24.7174450000,23.3683040000,0.5492765556,1.1566208401,4500.0000000000,0.0000000000,0.0000000000,27.8840400000,26.5683900000,0.6196453333,1.0252715173,4500.0000000000,0.0000000000,0.0000000000,124.7008096250,111.0564400000,2.7711291028,0.2292584313
ones,4608,18432,18.0000,0.017578,4608.0000000000,10000,4608.0000000000,0.0000000000,0.0000000000,27.2678855000,23.8536670000,0.5917509874,4608.0000000000,0.0000000000,0.0000000000,16.7690066250,12.9438150000,0.3639107340,1.6260883015,4608.0000000000,0.0000000000,0.0000000000,10.4294797500,7.8341500000,0.2263341960,2.6145010253,4608.0000000000,0.0000000000,0.0000000000,6.8674130000,6.0868380000,0.1490324002,3.9706197224,4608.0000000000,0.0000000000,0.0000000000,8.2291038750,6.4531260000,0.1785829834,3.3135911169,4608.0000000000,0.0000000000,0.0000000000,123.5129668750,106.4978170000,2.6804029270,0.2207694155,4608.0000000000,0.0000000000,0.0000000000,16.9973066250,15.1530310000,0.3688651611,1.6042474318,4608.0000000000,0.0000000000,0.0000000000,30.0227123750,25.1472080000,0.6515345567,0.9082419056,4608.0000000000,0.0000000000,0.0000000000,35.1661587500,33.7453700000,0.7631544868,0.7754013082,4608.0000000000,0.0000000000,0.0000000000,119.1947086250,105.4802810000,2.5866907254,0.2287675839
ones,5000,20000,19.5312,0.019073,5000.0000000000,10000,5000.0000000000,0.0000000000,0.0000000000,28.5070121250,27.6074750000,0.5701402425,5000.0000000000,0.0000000000,0.0000000000,14.4081361250,14.1915800000,0.2881627225,1.9785357299,5000.0000000000,0.0000000000,0.0000000000,9.5469277500,9.1171910000,0.1909385550,2.9859880447,5000.0000000000,0.0000000000,0.0000000000,7.7950961250,7.0538050000,0.1559019225,3.6570443350,5000.0000000000,0.0000000000,0.0000000000,8.4434576250,7.6567550000,0.1688691525,3.3762249295,5000.0000000000,0.0000000000,0.0000000000,133.4893690000,116.4864560000,2.6697873800,0.2135526772,5000.0000000000,0.0000000000,0.0000000000,15.2757571250,14.3535790000,0.3055151425,1.8661603410,5000.0000000000,0.0000000000,0.0000000000,27.4491848750,24.9348960000,0.5489836975,1.0385376562,5000.0000000000,0.0000000000,0.0000000000,34.4800645000,28.3031600000,0.6896012900,0.8267679466,5000.0000000000,0.0000000000,0.0000000000,115.2217975000,108.1563020000,2.3044359500,0.2474098890
ones,5500,22000,21.4844,0.020981,5500.0000000000,10000,5500.0000000000,0.0000000000,0.0000000000,31.4234853750,29.1716660000,0.5713360977,5500.0000000000,0.0000000000,0.0000000000,15.3524495000,14.6188700000,0.2791354455,2.0468059755,5500.0000000000,0.0000000000,0.0000000000,9.6339391250,9.3690290000,0.1751625295,3.2617483843,5500.0000000000,0.0000000000,0.0000000000,7.9766910000,7.3747060000,0.1450307455,3.9394136460,5500.0000000000,0.0000000000,0.0000000000,8.2253428750,7.7728330000,0.1495516886,3.8203252864,5500.0000000000,0.0000000000,0.0000000000,124.4869466250,117.6080250000,2.2633990295,0.2524239386,5500.0000000000,0.0000000000,0.0000000000,17.0977256250,14.4461690000,0.3108677386,1.8378751691,5500.0000000000,0.0000000000,0.0000000000,26.9539457500,26.1168180000,0.4900717409,1.1658213483,5500.0000000000,0.0000000000,0.0000000000,29.9475176250,28.8829460000,0.5445003205,1.0492851450,5500.0000000000,0.0000000000,0.0000000000,140.6713601250,127.5658920000,2.5576610932,0.2233822531
ones,6000,24000,23.4375,0.022888,6000.0000000000,10000,6000.0000000000,0.0000000000,0.0000000000,297.7197127500,33.3316950000,4.9619952125,6000.0000000000,0.0000000000,0.0000000000,17.4064822500,16.9622490000,0.2901080375,17.1039563580,6000.0000000000,0.0000000000,0.0000000000,10.9950238750,10.8270950000,0.1832503979,27.0776776963,6000.0000000000,0.0000000000,0.0000000000,8.7480735000,8.4346100000,0.1458012250,34.0326030354,6000.0000000000,0.0000000000,0.0000000000,9.1867698750,9.0203090000,0.1531128312,32.4074420935,6000.0000000000,0.0000000000,0.0000000000,150.6481715000,138.7859770000,2.5108028583,1.9762583892,6000.0000000000,0.0000000000,0.0000000000,16.7320450000,15.8677470000,0.2788674167,17.7933846550,6000.0000000000,0.0000000000,0.0000000000,31.2454233750,28.3957920000,0.5207570562,9.5284262651,6000.0000000000,0.0000000000,0.0000000000,34.7404507500,31.0312780000,0.5790075125,8.5698287248,6000.0000000000,0.0000000000,0.0000000000,136.6687458750,125.9697650000,2.2778124313,2.1784037809
ones,6144,24576,24.0000,0.023438,6144.0000000000,10000,6144.0000000000,0.0000000000,0.0000000000,34.6121071250,31.6153510000,0.5633480977,6144.0000000000,0.0000000000,0.0000000000,20.7381252500,15.9450610000,0.3375345907,1.6690084908,6144.0000000000,0.0000000000,0.0000000000,10.4934353750,10.2326680000,0.1707915914,3.2984533557,6144.0000000000,0.0000000000,0.0000000000,8.3543301250,7.9781930000,0.1359754252,4.1430140546,6144.0000000000,0.0000000000,0.0000000000,9.6021510000,8.6786610000,0.1562850098,3.6046201653,6144.0000000000,0.0000000000,0.0000000000,134.4167651250,129.9198870000,2.1877728699,0.2574984385,6144.0000000000,0.0000000000,0.0000000000,18.7353877500,17.8253060000,0.3049379517,1.8474187771,6144.0000000000,0.0000000000,0.0000000000,35.3559687500,31.3460460000,0.5754552205,0.9789607907,6144.0000000000,0.0000000000,0.0000000000,35.5419633750,34.2622460000,0.5784824768,0.9738377917,6144.0000000000,0.0000000000,0.0000000000,144.8812066250,140.1664930000,2.3580925557,0.2388999093
