n,naive_avg_ms,cache_opt_avg_ms,time_ratio
1,8.946556666666668e-06,8.972446666666666e-06,0.9971144994267638
2,1.17072e-05,1.1185666666666665e-05,1.0466251452752036
3,1.597143333333333e-05,1.5194866666666666e-05,1.0511071721590186
4,2.3904566666666668e-05,2.2515666666666665e-05,1.0616859371992835
5,3.2985200000000004e-05,3.0312633333333335e-05,1.0881667599537708
6,5.4182000000000004e-05,4.098256666666667e-05,1.3220743454330581
7,6.434843333333333e-05,5.5813766666666664e-05,1.152913289612539
8,7.70901e-05,6.806043333333334e-05,1.1326713073136472
9,8.233166666666668e-05,7.720956666666667e-05,1.066340224678548
10,9.664056666666666e-05,0.00013150399999999998,0.7348868982439064
11,0.00012541766666666668,0.00010910233333333333,1.1495415618975457
12,0.00013603200000000001,0.00011899733333333333,1.1431516672642525
13,0.000146368,0.00013932333333333336,1.0505634375672892
14,0.000194274,0.00014552866666666666,1.3349534799558394
15,0.00020032833333333334,0.000160322,1.2495373893372923
16,0.0002515143333333333,0.00018962333333333333,1.3263891574524935
17,0.0002160053333333333,0.00020748566666666665,1.04106147091285
18,0.00022801566666666667,0.00022283533333333335,1.0232473605322914
19,0.0002399636666666667,0.00024295466666666665,0.9876890613338019
20,0.0002444086666666667,0.000262858,0.9298125477127069
21,0.00024409266666666668,0.00029568866666666665,0.825505655723475
22,0.00027228100000000003,0.00030559166666666666,0.8909961549998637
23,0.00028028633333333335,0.000319226,0.8780184989109076
24,0.00039607766666666664,0.00033067933333333333,1.1977696418887178
25,0.0003801173333333333,0.000329286,1.1543683403890033
26,0.000400963,0.00031884333333333334,1.2575549120257596
27,0.00038246133333333333,0.0003368233333333333,1.1354953635436975
28,0.000541464,0.00036630733333333334,1.4781686052331284
29,0.00049138,0.000449562,1.093019427798613
30,0.0004942153333333334,0.0005092733333333333,0.9704323807778403
31,0.0005027313333333333,0.000466212,1.0783320320655267
32,0.0006180123333333333,0.0004756366666666667,1.2993370289646857
33,0.000607405,0.0005380273333333333,1.128948219483273
34,0.000612931,0.0006445126666666667,0.9509991528483019
35,0.0006891610000000001,0.0005846310000000001,1.1787965400397857
36,0.0008884966666666667,0.0006353696666666666,1.3983932713186917
37,0.000741812,0.0006546070000000001,1.1332173349811412
38,0.0007317746666666668,0.0008166653333333333,0.8960520751870616
